Sample	alpha	popSize	density
0	1.0	1.0	-46.0591932426565
1	1.0475	1.0	-44.96176327436272
2	1.095	1.0	-43.96282128084461
3	1.1425	1.0	-43.063916545491324
4	1.19	1.0	-42.26732371875116
5	1.2375	1.0	-41.57604363216528
6	1.2850000000000001	1.0	-40.993824832685085
7	1.3325	1.0	-40.52520837617959
8	1.38	1.0	-40.17560119822641
9	1.4275	1.0	-39.95138750255669
10	1.475	1.0	-39.860094262382574
11	1.5225	1.0	-39.9106383924002
12	1.57	1.0	-40.113704057554386
13	1.6175000000000002	1.0	-40.48233901847011
14	1.665	1.0	-41.032942416182394
15	1.7125	1.0	-41.787002899488854
16	1.76	1.0	-42.77440521199316
17	1.8075	1.0	-44.04040673110312
18	1.855	1.0	-45.662652507088936
19	1.9024999999999999	1.0	-47.80298664034469
20	1.95	1.0	-50.944159398771205
