Sample	alpha	popSize	density
0	1.0	1.0	-45.67369620754803
1	1.0475	1.0	-43.84677655192796
2	1.095	1.0	-42.110245845341105
3	1.1425	1.0	-40.46281991432788
4	1.19	1.0	-38.90380511118368
5	1.2375	1.0	-37.43304610062895
6	1.2850000000000001	1.0	-36.05088590671967
7	1.3325	1.0	-34.758135744177025
8	1.38	1.0	-33.55605277189792
9	1.4275	1.0	-32.44632435470552
10	1.475	1.0	-31.431057751089885
11	1.5225	1.0	-30.512774393016198
12	1.57	1.0	-29.69440811187974
13	1.6175000000000002	1.0	-28.979306808537906
14	1.665	1.0	-28.371237176541495
15	1.7125	1.0	-27.87439217449343
16	1.76	1.0	-27.493401011885343
17	1.8075	1.0	-27.23334146721642
18	1.855	1.0	-27.099754400951795
19	1.9024999999999999	1.0	-27.098660361378638
20	1.95	1.0	-27.236578210506313
